"date","subregion","stage"
"2021-08-12","Rhein-Sieg-Kreis","1"
"2021-08-12","Siegen-Wittgenstein","1"
"2021-08-12","Soest","1"
"2021-08-12","Steinfurt","1"
"2021-08-12","Unna","1"
"2021-08-12","Viersen","1"
"2021-08-12","Warendorf","1"
"2021-08-12","Wesel","1"
"2021-08-12","Wuppertal","1"
"2021-08-13","Städteregion Aachen","1"
"2021-08-13","Bielefeld","1"
"2021-08-13","Bochum","1"
"2021-08-13","Borken","1"
"2021-08-13","Bottrop","1"
"2021-08-13","Dortmund","1"
"2021-08-13","Duisburg","1"
"2021-08-13","Düren","1"
"2021-08-13","Ennepe-Ruhr-Kreis","1"
"2021-08-13","Essen","1"
"2021-08-13","Gelsenkirchen","1"
"2021-08-13","Hagen","1"
"2021-08-13","Hamm","1"
"2021-08-13","Heinsberg","1"
"2021-08-13","Herford","1"
"2021-08-13","Herne","1"
"2021-08-13","Hochsauerlandkreis","1"
"2021-08-13","Höxter","1"
"2021-08-13","Kleve","1"
"2021-08-13","Leverkusen","1"
"2021-08-13","Lippe","1"
"2021-08-13","Märkischer Kreis","1"
"2021-08-13","Mettmann","1"
"2021-08-13","Minden-Lübbecke","1"
"2021-08-13","Mönchengladbach","1"
"2021-08-13","Mülheim an der Ruhr","1"
"2021-08-13","Münster","1"
"2021-08-13","Oberhausen","1"
"2021-08-13","Olpe","1"
"2021-08-13","Paderborn","1"
"2021-08-13","Recklinghausen","1"
"2021-08-13","Remscheid","1"
"2021-08-13","Rheinisch-Bergischer Kreis","1"
"2021-08-13","Rhein-Kreis Neuss","1"
"2021-08-13","Rhein-Sieg-Kreis","1"
"2021-08-13","Siegen-Wittgenstein","1"
"2021-08-13","Soest","1"
"2021-08-13","Steinfurt","1"
"2021-08-13","Unna","1"
"2021-08-13","Viersen","1"
"2021-08-13","Warendorf","1"
"2021-08-13","Wesel","1"
"2021-08-13","Wuppertal","1"
"2021-07-26","Solingen","2"
"2021-07-27","Düsseldorf","2"
"2021-07-27","Solingen","2"
"2021-07-28","Düsseldorf","2"
"2021-07-28","Solingen","2"
"2021-07-29","Düsseldorf","2"
"2021-07-29","Solingen","2"
"2021-07-30","Düsseldorf","2"
"2021-07-30","Solingen","2"
"2021-08-02","Düsseldorf","2"
"2021-08-02","Solingen","2"
"2021-08-03","Düsseldorf","2"
"2021-08-03","Solingen","2"
"2021-08-04","Düsseldorf","2"
"2021-08-04","Solingen","2"
"2021-08-05","Düsseldorf","2"
"2021-08-05","Solingen","2"
"2021-08-06","Düsseldorf","2"
"2021-08-06","Solingen","2"
"2021-08-09","Düsseldorf","2"
"2021-08-09","Solingen","2"
"2021-08-10","Düsseldorf","2"
"2021-08-10","Rhein-Erft-Kreis","2"
"2021-08-10","Solingen","2"
"2021-08-11","Düsseldorf","2"
"2021-08-11","Rhein-Erft-Kreis","2"
"2021-08-11","Solingen","2"
"2021-08-12","Düsseldorf","2"
"2021-08-12","Köln","2"
"2021-08-12","Oberbergischer Kreis","2"
"2021-08-12","Rhein-Erft-Kreis","2"
"2021-08-12","Solingen","2"
"2021-08-13","Bonn","2"
"2021-08-13","Düsseldorf","2"
"2021-08-13","Gütersloh","2"
"2021-08-13","Köln","2"
"2021-08-13","Krefeld","2"
"2021-08-13","Oberbergischer Kreis","2"
"2021-08-13","Rhein-Erft-Kreis","2"
"2021-08-13","Solingen","2"
